# Force and moment coefficients
# dragDir     : (9.987016e-01 5.094156e-02 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (-5.094156e-02 9.987016e-01 0.000000e+00)
# rollAxis    : (9.987016e-01 5.094156e-02 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (-5.094156e-02 9.987016e-01 0.000000e+00)
# magUInf     : 8.578316e-01
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1.20005e-05   	5.211293e-03	4.414653e-04	4.769828e-03	4.328362e-03	-3.025410e-03	7.353773e-03	-5.189592e-03	-2.164181e-03	2.605646e-03	-3.592543e-20	2.605646e-03	-2.605646e-03
2.64017e-05   	8.980553e-03	-4.541804e-04	9.434733e-03	9.888914e-03	-6.643218e-03	1.653213e-02	-1.158767e-02	-4.944457e-03	4.490276e-03	-3.613831e-20	4.490276e-03	-4.490276e-03
4.36833e-05   	1.299105e-02	-1.800596e-03	1.479164e-02	1.659224e-02	-1.096786e-02	2.756010e-02	-1.926398e-02	-8.296120e-03	6.495523e-03	-3.585139e-20	6.495523e-03	-6.495523e-03
6.44211e-05   	1.791138e-02	-3.342314e-03	2.125369e-02	2.459601e-02	-1.613783e-02	4.073383e-02	-2.843583e-02	-1.229800e-02	8.955690e-03	-3.448962e-20	8.955690e-03	-8.955690e-03
8.93055e-05   	2.438233e-02	-4.873514e-03	2.925585e-02	3.412936e-02	-2.232721e-02	5.645657e-02	-3.939189e-02	-1.706468e-02	1.219117e-02	-3.182626e-20	1.219117e-02	-1.219117e-02
0.000119165   	3.379922e-02	-5.841152e-03	3.964037e-02	4.548152e-02	-2.968682e-02	7.516834e-02	-5.242758e-02	-2.274076e-02	1.689961e-02	-3.054211e-20	1.689961e-02	-1.689961e-02
0.00015499    	4.382291e-02	-7.535847e-03	5.135875e-02	5.889460e-02	-3.828709e-02	9.718169e-02	-6.773439e-02	-2.944730e-02	2.191145e-02	-3.043873e-20	2.191145e-02	-2.191145e-02
0.000197972   	5.279601e-02	-1.091216e-02	6.370817e-02	7.462033e-02	-4.838145e-02	1.230018e-01	-8.569161e-02	-3.731016e-02	2.639800e-02	-3.053905e-20	2.639800e-02	-2.639800e-02
0.000249152   	6.316348e-02	-1.485901e-02	7.802248e-02	9.288149e-02	-6.009245e-02	1.529739e-01	-1.065332e-01	-4.644075e-02	3.158174e-02	-3.056405e-20	3.158174e-02	-3.158174e-02
0.000308457   	7.483846e-02	-1.926091e-02	9.409937e-02	1.133603e-01	-7.321336e-02	1.865736e-01	-1.298935e-01	-5.668014e-02	3.741923e-02	-3.059850e-20	3.741923e-02	-3.741923e-02
0.000375725   	8.761905e-02	-2.401740e-02	1.116365e-01	1.356539e-01	-8.748147e-02	2.231353e-01	-1.553084e-01	-6.782693e-02	4.380952e-02	-3.064424e-20	4.380952e-02	-4.380952e-02
0.000450857   	1.012971e-01	-2.902214e-02	1.303192e-01	1.593413e-01	-1.026229e-01	2.619642e-01	-1.822935e-01	-7.967067e-02	5.064853e-02	-3.070048e-20	5.064853e-02	-5.064853e-02
0.000527551   	1.146044e-01	-3.379107e-02	1.483955e-01	1.821866e-01	-1.172060e-01	2.993925e-01	-2.082993e-01	-9.109328e-02	5.730221e-02	-3.076201e-20	5.730221e-02	-5.730221e-02
0.000602455   	1.269816e-01	-3.812638e-02	1.651080e-01	2.032344e-01	-1.306230e-01	3.338574e-01	-2.322402e-01	-1.016172e-01	6.349081e-02	-3.082000e-20	6.349081e-02	-6.349081e-02
0.000675488   	1.385007e-01	-4.206823e-02	1.805689e-01	2.226371e-01	-1.429744e-01	3.656115e-01	-2.542930e-01	-1.113186e-01	6.925033e-02	-3.087925e-20	6.925033e-02	-6.925033e-02
0.000746637   	1.492480e-01	-4.566243e-02	1.949105e-01	2.405729e-01	-1.543768e-01	3.949497e-01	-2.746633e-01	-1.202865e-01	7.462402e-02	-3.094061e-20	7.462402e-02	-7.462402e-02
